critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
0.9799903631210327,0.038545094430446625,0.12196695804595947,-0.052039626985788345,1.1658174991607666,0.6454406976699829,0.5139938592910767,0.13144685328006744,0.19899220764636993,0
0.04055695980787277,-9.043813705444336,0.0700523853302002,-17.726408004760742,0.24090568721294403,8.719696044921875,0.3447078466415405,8.374988555908203,0.37677496671676636,10000
0.013767534866929054,-9.493613243103027,0.20399165153503418,-20.703784942626953,0.16048315167427063,8.899696350097656,0.34422290325164795,8.555473327636719,0.35220402479171753,20000
0.009008376859128475,-9.769607543945312,0.03388500213623047,-21.210647583007812,0.21630752086639404,9.23182487487793,0.33326178789138794,8.898563385009766,0.34872955083847046,30000
0.01010475866496563,-9.12965202331543,0.09512686729431152,-19.946372985839844,0.22788670659065247,8.661467552185059,0.31346622109413147,8.348001480102539,0.32265010476112366,40000
0.005812975578010082,-9.275066375732422,0.022491395473480225,-21.70916175842285,0.20198917388916016,8.626450538635254,0.31903472542762756,8.307415962219238,0.33752235770225525,50000
0.007034218404442072,-9.86282730102539,0.07207787036895752,-24.5386962890625,0.18102680146694183,9.233010292053223,0.3087140917778015,8.924296379089355,0.33516615629196167,60000
0.006146980915218592,-9.371034622192383,-0.0041120052337646484,-24.50830078125,0.2032526433467865,8.769307136535645,0.2994515299797058,8.469855308532715,0.3177957534790039,70000
0.006244495045393705,-9.739595413208008,0.03257489204406738,-27.30091094970703,0.20259280502796173,9.179427146911621,0.30444493889808655,8.874981880187988,0.3153989911079407,80000
0.005422688089311123,-9.848254203796387,0.004504740238189697,-23.738407135009766,0.15352439880371094,9.244444847106934,0.31502851843833923,8.92941665649414,0.33030056953430176,90000
0.0063043441623449326,-9.589851379394531,0.0034836530685424805,-24.846450805664062,0.18706560134887695,8.971502304077148,0.3028052747249603,8.668697357177734,0.3282017409801483,100000
0.004800762981176376,-9.768318176269531,0.12648046016693115,-21.664871215820312,0.14763839542865753,9.183530807495117,0.30734893679618835,8.876181602478027,0.3311285674571991,110000
0.012404503300786018,-9.510974884033203,0.02763986587524414,-21.80469512939453,0.17701520025730133,8.876214981079102,0.2911112904548645,8.585103988647461,0.3178215026855469,120000
0.003604751080274582,-9.361160278320312,0.017926931381225586,-23.477540969848633,0.12897607684135437,8.73512077331543,0.33118483424186707,8.403936386108398,0.344883531332016,130000
0.004528762772679329,-9.502259254455566,0.03184497356414795,-26.576501846313477,0.18425127863883972,8.925445556640625,0.28957128524780273,8.63587474822998,0.31475186347961426,140000
0.004217568319290876,-9.798840522766113,0.015892744064331055,-23.58233642578125,0.1846783608198166,9.20666790008545,0.27504962682724,8.931618690490723,0.2977053225040436,150000
0.005397669039666653,-9.659729957580566,0.037895917892456055,-21.312702178955078,0.1583075225353241,9.039741516113281,0.27782338857650757,8.761918067932129,0.3047176003456116,160000
0.005060800816863775,-9.325002670288086,0.0177229642868042,-19.697715759277344,0.15935850143432617,8.69299030303955,0.2758709192276001,8.417119026184082,0.2937224507331848,170000
0.0066350772976875305,-9.57334041595459,0.048225998878479004,-30.24809455871582,0.16099774837493896,8.933117866516113,0.2867039144039154,8.646413803100586,0.310416042804718,180000
0.005628890357911587,-9.773015975952148,0.03021407127380371,-25.895633697509766,0.17052297294139862,9.1735200881958,0.2913561761379242,8.882164001464844,0.31252428889274597,190000
