critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9982441067695618,-0.09841198474168777,0.112150639295578,-0.28015458583831787,-3.961519956588745,0.33993035554885864,0.7465757131576538,-5.048026084899902,0.7465757131576538,9.17230224609375,0.9997000694274902,0
0.21244925260543823,-36.55646514892578,-0.2710714340209961,-40.39130401611328,36.54170227050781,36.398223876953125,0.48199793696403503,-0.3385193347930908,0.48199793696403503,0.7425625920295715,0.09856070578098297,10000
0.33965370059013367,-45.902801513671875,0.359926700592041,-63.68143081665039,45.986942291259766,45.586917877197266,0.34839367866516113,0.05163305625319481,0.34839367866516113,0.017202550545334816,0.017400851473212242,20000
0.2823834717273712,-48.095985412597656,-0.15045762062072754,-73.49671173095703,47.87740707397461,47.50846481323242,0.3117353320121765,0.0572066605091095,0.3117353320121765,-0.005140663590282202,0.013885417953133583,30000
0.13797976076602936,-53.513633728027344,-0.09232020378112793,-77.90690612792969,53.43800354003906,53.103492736816406,0.28177160024642944,0.05273668095469475,0.28177160024642944,0.0024514119140803814,0.01324194110929966,40000
0.16970421373844147,-59.665931701660156,-0.022655725479125977,-80.44168090820312,59.59005355834961,59.27492904663086,0.2641468644142151,0.05097441375255585,0.2641468644142151,0.003441781969740987,0.01328214816749096,50000
0.28581082820892334,-60.625247955322266,0.10352444648742676,-85.56297302246094,60.59699630737305,60.26465606689453,0.28187981247901917,0.050462063401937485,0.28187981247901917,0.001978801330551505,0.013366350904107094,60000
0.2037021815776825,-61.739410400390625,0.2706270217895508,-87.7891616821289,61.67586898803711,61.34996032714844,0.27402380108833313,0.051883213222026825,0.27402380108833313,0.001359598827548325,0.013186580501496792,70000
0.26500076055526733,-62.3980598449707,-0.3436553478240967,-84.85363006591797,62.31144714355469,62.01819610595703,0.24428051710128784,0.04896831139922142,0.24428051710128784,0.003215462900698185,0.0127789955586195,80000
0.17408815026283264,-62.728126525878906,-0.13377654552459717,-88.98497772216797,62.58460235595703,62.23655319213867,0.29681146144866943,0.05123896896839142,0.29681146144866943,0.0015059845754876733,0.012990179471671581,90000
0.19304561614990234,-62.6307373046875,-0.04345262050628662,-87.79458618164062,62.59928894042969,62.25963592529297,0.28827017545700073,0.05138379707932472,0.28827017545700073,-0.004149045795202255,0.01296938955783844,100000
