Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
68.14286,16.915154,94.0,44.0,68.14285714285714,85.07692,37.657284,171.0,47.0,85.07692307692308,43.78904342651367,31269,3.8082058429718018,,29
62.714287,18.374783,95.0,45.0,62.714285714285715,87.333336,43.75944,196.0,49.0,87.33333333333333,48.780548095703125,32317,3.9110591411590576,,30
54.125,17.178747,95.0,39.0,54.125,68.933334,24.69134,139.0,46.0,68.93333333333334,33.34111404418945,33351,4.013899087905884,,31
68.833336,27.088844,114.0,43.0,68.83333333333333,58.882355,11.876237,82.0,43.0,58.88235294117647,27.598726272583008,34352,4.1147301197052,,32
84.6,33.88569,131.0,46.0,84.6,59.666668,22.368132,128.0,34.0,59.666666666666664,29.24537467956543,35426,4.2233970165252686,,33
58.285713,15.535344,93.0,39.0,58.285714285714285,59.64706,17.022274,94.0,38.0,59.64705882352941,29.142223358154297,36440,4.324875831604004,,34
76.666664,23.816427,121.0,50.0,76.66666666666667,72.07143,23.953718,137.0,39.0,72.07142857142857,34.990135192871094,37449,4.431606769561768,,35
67.166664,24.989443,120.0,45.0,67.16666666666667,63.4375,16.892931,106.0,42.0,63.4375,29.811168670654297,38464,4.535421133041382,,36
63.142857,10.868415,78.0,49.0,63.142857142857146,64.588234,18.768116,110.0,41.0,64.58823529411765,31.62649154663086,39562,4.642796993255615,,37
84.0,29.21187,128.0,52.0,84.0,79.38461,34.276115,182.0,48.0,79.38461538461539,41.00526428222656,40594,4.749896049499512,,38
109.75,42.43451,167.0,55.0,109.75,72.5,33.335415,182.0,49.0,72.5,39.40943145751953,41609,4.8644959926605225,,39
84.6,9.850888,103.0,74.0,84.6,91.454544,29.95865,159.0,47.0,91.45454545454545,43.705989837646484,42615,4.969503164291382,,40
76.666664,11.799247,96.0,60.0,76.66666666666667,87.53846,27.611633,164.0,56.0,87.53846153846153,39.16444778442383,43753,5.087194919586182,,41
100.25,17.166464,120.0,73.0,100.25,92.63636,22.88021,139.0,65.0,92.63636363636364,41.62377166748047,44772,5.193944931030273,,42
75.166664,15.507167,92.0,49.0,75.16666666666667,84.75,21.954973,123.0,55.0,84.75,38.44641876220703,45789,5.296149015426636,,43
77.166664,25.360182,122.0,51.0,77.16666666666667,92.0,34.556934,173.0,53.0,92.0,45.4747200012207,46801,5.5729711055755615,,44
